#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_zebrica;Zebrica;;;;;;;;;;;;;x
e_zebrica_adj;Zebrician;;;;;;;;;;;;;x
e_hayseed;Hayseed;;;;;;;;;;;;;x
e_hayseed_adj;Hayseedian;;;;;;;;;;;;;x
e_saddle_arabia;Saddle Arabia;;;;;;;;;;;;;x
e_saddle_arabia_adj;Saddle Arabian;;;;;;;;;;;;;x
e_buffalonia;Buffalonia;;;;;;;;;;;;;x
e_buffalonia_adj;Buffalonian;;;;;;;;;;;;;x
e_equestria;Equestria;;;;;;;;;;;;;x
e_equestria_adj;Equestrian;;;;;;;;;;;;;x
e_deeria;Cervidas;;;;;;;;;;;;;x
e_deeria_adj;Cervid;;;;;;;;;;;;;x
e_crystal_empire;Crystal Empire;;;;;;;;;;;;;x
e_crystal_empire_adj;Imperial Crystal;;;;;;;;;;;;;x
e_changeling;Changeling;;;;;;;;;;;;;x
e_changeling_adj;Changeling;;;;;;;;;;;;;x
e_griffin_empire;Griffon Empire;;;;;;;;;;;;;x
e_griffin_empire_adj;Imperial Griffon;;;;;;;;;;;;;x
e_mooseland;Mooseland;;;;;;;;;;;;;x
e_mooseland_adj;Mooselandian;;;;;;;;;;;;;x
