PROV1;The Frozen North;The Frozen North;The Frozen North;;;;;;;;;x
PROV2;The Arctic;The Arctic;The Arctic;;;;;;;;;x
PROV3;Barno;Barno;Barno;;;;;;;;;x
PROV4;Durmane;Durmane;Durmane;;;;;;;;;x
PROV5;Hayq;Hayq;Hayq;;;;;;;;;x
PROV6;Herdeta;Herdeta;Herdeta;;;;;;;;;x
PROV7;Zebraway;Zebraway;Zebraway;;;;;;;;;x
PROV8;Maneamba;Maneamba;Maneamba;;;;;;;;;x
PROV9;Bridle Dar;Bridle Dar;Bridle Dar;;;;;;;;;x
PROV10;Agister;Agister;Agister;;;;;;;;;x
PROV11;Broncall;Broncall;Broncall;;;;;;;;;x
PROV12;Ring Sour;Ring Sour;Ring Sour;;;;;;;;;x
PROV13;Quirtar;Quirtar;Quirtar;;;;;;;;;x
PROV14;Yeeha;Yeeha;Yeeha;;;;;;;;;x
PROV15;Motail;Motail;Motail;;;;;;;;;x
PROV16;Tippoint;Tippoint;Tippoint;;;;;;;;;x
PROV17;Mareda;Mareda;Mareda;;;;;;;;;x
PROV18;Sohorse;Sohorse;Sohorse;;;;;;;;;x
PROV19;Manechew;Manechew;Manechew;;;;;;;;;x
PROV20;Latigo Gallop;Latigo Gallop;Latigo Gallop;;;;;;;;;x
PROV21;Nagallop;Nagallop;Nagallop;;;;;;;;;x
PROV22;Zebroidar;Zebroidar;Zebroidar;;;;;;;;;x
PROV23;Zebakar;Zebakar;Zebakar;;;;;;;;;x
PROV24;Herder;Herder;Herder;;;;;;;;;x
PROV25;Turmule;Turmule;Turmule;;;;;;;;;x
PROV26;Zebroitan;Zebroitan;Zebroitan;;;;;;;;;x
PROV27;Haltra;Haltra;Haltra;;;;;;;;;x
PROV28;Hockoro;Hockoro;Hockoro;;;;;;;;;x
PROV29;Kanoknacker;Kanoknacker;Kanoknacker;;;;;;;;;x
PROV30;Tamare;Tamare;Tamare;;;;;;;;;x
PROV31;Manecara;Manecara;Manecara;;;;;;;;;x
PROV32;Sunzebra;Sunzebra;Sunzebra;;;;;;;;;x
PROV33;Barnago;Barnago;Barnago;;;;;;;;;x
PROV34;Kolto;Kolto;Kolto;;;;;;;;;x
PROV35;Pellagallop;Pellagallop;Pellagallop;;;;;;;;;x
PROV36;Gaitao;Gaitao;Gaitao;;;;;;;;;x
PROV37;Ramzarba;Ramzarba;Ramzarba;;;;;;;;;x
PROV38;Baybaba;Baybaba;Baybaba;;;;;;;;;x
PROV39;Al Zebara;Al Zebara;Al Zebara;;;;;;;;;x
PROV40;Timbucktu;Timbucktu;Timbucktu;;;;;;;;;x
PROV41;Coltiala;Coltiala;Coltiala;;;;;;;;;x
PROV42;Kumaresi;Kumaresi;Kumaresi;;;;;;;;;x
PROV43;Grassased;Grassased;Grassased;;;;;;;;;x
PROV44;Firegrass;Firegrass;Firegrass;;;;;;;;;x
PROV45;Barnah;Barnah;Barnah;;;;;;;;;x
PROV46;Mareya;Mareya;Mareya;;;;;;;;;x
PROV47;Nyighsighuba;Nyighsighuba;Nyighsighuba;;;;;;;;;x
PROV48;Fillyzan;Fillyzan;Fillyzan;;;;;;;;;x
PROV49;Nyasihatua;Nyasihatua;Nyasihatua;;;;;;;;;x
PROV50;Nyighsimlima;Nyighsimlima;Nyighsimlima;;;;;;;;;x
PROV51;Mareghreb;Mareghreb;Mareghreb;;;;;;;;;x
PROV52;Al Ferrier;Al Ferrier;Al Ferrier;;;;;;;;;x
PROV53;Shyerstan;Shyerstan;Shyerstan;;;;;;;;;x
PROV54;Cabo;Cabo;Cabo;;;;;;;;;x
PROV55;Tackna;Tackna;Tackna;;;;;;;;;x
PROV56;Tobronc;Tobronc;Tobronc;;;;;;;;;x
PROV57;Crimson Waste;Crimson Waste;Crimson Waste;;;;;;;;;x
PROV58;Saddleban;Saddleban;Saddleban;;;;;;;;;x
PROV59;Scarlet Dunes;Scarlet Dunes;Scarlet Dunes;;;;;;;;;x
PROV60;Sireha;Sireha;Sireha;;;;;;;;;x
PROV61;Damsiretta;Damsiretta;Damsiretta;;;;;;;;;x
PROV62;Al Stable;Al Stable;Al Stable;;;;;;;;;x
PROV63;Maresteganem;Maresteganem;Maresteganem;;;;;;;;;x
PROV64;Girthaia;Girthaia;Girthaia;;;;;;;;;x
PROV65;Tailbessa;Tailbessa;Tailbessa;;;;;;;;;x
PROV66;Darkpool;Darkpool;Darkpool;;;;;;;;;x
PROV67;Pundaanyighumbani;Pundaanyighumbani;Pundaanyighumbani;;;;;;;;;x
PROV68;Numnah;Numnah;Numnah;;;;;;;;;x
