#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_barno1;Barno1;;;;;;;;;;;;;x
b_barno1_adj;Barno1ian;;;;;;;;;;;;;x
b_barno2;Barno2;;;;;;;;;;;;;x
b_barno2_adj;Barno2ian;;;;;;;;;;;;;x
b_barno3;Barno3;;;;;;;;;;;;;x
b_barno3_adj;Barno3ian;;;;;;;;;;;;;x
b_durmane1;Durmane1;;;;;;;;;;;;;x
b_durmane1_adj;Durmane1ian;;;;;;;;;;;;;x
b_durmane2;Durmane2;;;;;;;;;;;;;x
b_durmane2_adj;Durmane2ian;;;;;;;;;;;;;x
b_durmane3;Durmane3;;;;;;;;;;;;;x
b_durmane3_adj;Durmane3ian;;;;;;;;;;;;;x
b_hayq1;Hayq1;;;;;;;;;;;;;x
b_hayq1_adj;Hayq1ian;;;;;;;;;;;;;x
b_hayq2;Hayq2;;;;;;;;;;;;;x
b_hayq2_adj;Hayq2ian;;;;;;;;;;;;;x
b_hayq3;Hayq3;;;;;;;;;;;;;x
b_hayq3_adj;Hayq3ian;;;;;;;;;;;;;x
b_motail1;Motail1;;;;;;;;;;;;;x
b_motail1_adj;Motail1ian;;;;;;;;;;;;;x
b_motail2;Motail2;;;;;;;;;;;;;x
b_motail2_adj;Motail2ian;;;;;;;;;;;;;x
b_motail3;Motail3;;;;;;;;;;;;;x
b_motail3_adj;Motail3ian;;;;;;;;;;;;;x
b_herdeta1;Herdeta1;;;;;;;;;;;;;x
b_herdeta1_adj;Herdeta1ian;;;;;;;;;;;;;x
b_herdeta2;Herdeta2;;;;;;;;;;;;;x
b_herdeta2_adj;Herdeta2ian;;;;;;;;;;;;;x
b_herdeta3;Herdeta3;;;;;;;;;;;;;x
b_herdeta3_adj;Herdeta3ian;;;;;;;;;;;;;x
b_yeeha1;Yeeha1;;;;;;;;;;;;;x
b_yeeha1_adj;Yeeha1ian;;;;;;;;;;;;;x
b_yeeha2;Yeeha2;;;;;;;;;;;;;x
b_yeeha2_adj;Yeeha2ian;;;;;;;;;;;;;x
